c_id,number_of_doors,tyre_type,number_of_cylinders,drive_type,turbo_charger,super_charger,length(mm),width(mm),height(mm),color,city,Mileage(Kmpl)
236,5,"Tubeless,Radial",6,AWD,No,No,4697,1923,1624,Blue,kolkata,14
237,5,"Tubeless,Radial",4,Not specified,No,No,4435,1680,1765,White,kolkata,15
238,5,"Tubeless,Radial",4,4WD,Yes,No,4648,2098,1661,Black,kolkata,16
239,4,"Tubeless,Radial",4,FWD,Yes,No,4413,1703,1550,Others,kolkata,21
240,5,Tubeless,3,FWD,No,No,3765,1660,1520,Others,kolkata,24
241,4,"Tubeless,Radial",3,Not specified,No,No,3993,1677,1532,White,kolkata,19
242,5,"Tubeless,Radial",3,FWD,No,No,3500,1600,1490,Green,kolkata,19
243,5,"Radial,Tubeless",4,Not specified,Yes,No,4329,1813,1626,Others,kolkata,20
244,5,Tubeless Tyres,3,Not specified,No,No,3445,1515,1475,Others,kolkata,22
245,4,"Tubeless,Radial",4,FWD,No,No,4440,1695,1495,White,kolkata,17
246,5,"Tubeless,Radial",4,FWD,Yes,No,4705,1840,1850,Grey,kolkata,13
247,5,"Tubeless Tyres, Radial",3,FWD,No,No,3655,1620,1675,Silver,kolkata,22
248,4,"Tubeless,Radial",4,FWD,No,No,4620,1776,1475,White,kolkata,14
249,4,"Tubeless,Radial",4,FWD,No,No,4440,1695,1495,Silver,kolkata,17
250,5,"Tubeless,Radial",4,Not specified,No,No,3940,1710,1505,Black,kolkata,18
251,5,"Tubeless, Radial",4,FWD,No,No,4265,1695,1685,Others,kolkata,16
252,4,"Tubeless,Radial",4,FWD,Yes,No,4644,1778,1453,Silver,kolkata,15
253,5,"Tubeless, Radials",3,FWD,No,No,3700,1735,1655,White,kolkata,18
254,5,"Tubeless,Radial",4,FWD,No,No,3610,1680,1500,Silver,kolkata,19
255,5,"Tubeless,Radial",4,RWD,Yes,No,4585,1765,1760,Others,kolkata,13
256,4,"Tubeless,Radial",4,Rear Wheel Drive with ESP,Yes,No,4868,1854,1471,Silver,kolkata,14
257,4,"Tubeless,Radial",4,FWD,Yes,No,4570,1800,1465,Black,kolkata,23
258,5,"Tubeless,Radial",4,Not specified,No,No,0,0,0,Others,kolkata,
259,5,"Tubeless, Radial",3,Not specified,No,No,3991,1739,1643,Silver,kolkata,20
260,4,"Tubeless,Radial",4,FWD,No,No,4249,1690,1503,White,kolkata,18
261,5,"Tubeless,Radial",4,FWD,No,No,3995,1790,1640,Silver,kolkata,17
262,4,"Tubeless,Radial",4,Not specified,No,No,0,0,0,Red,kolkata,18
263,4,"Tubeless,Radial",4,FWD,No,No,4370,1700,1475,Black,kolkata,22
264,4,"Tubeless, Radial",4,Not specified,No,No,3995,1735,1515,Blue,kolkata,22
265,5,"Tubeless,Radial",4,FWD,No,No,3995,1710,1505,Silver,kolkata,18
266,5,"Tubeless, Radial",4,FWD,Yes,No,4315,1800,1645,Black,kolkata,18
267,5,Tubeless Tyres,3,Not specified,No,No,3445,1515,1475,Red,kolkata,22
268,5,Tubeless,4,FWD,No,No,3585,1595,1550,Red,kolkata,20
269,5,Tubeless,3,FWD,No,No,3495,1550,1500,Blue,kolkata,21
270,5,"Tubeless,Radial",3,FWD,No,No,3971,1682,1469,Red,kolkata,19
271,5,Tubeless,3,FWD,No,No,3495,1550,1500,Blue,kolkata,21
272,5,"Tubeless, Radial",3,FWD,No,No,3565,1520,1567,Grey,kolkata,25
273,5,"Tubeless,Radial",4,FWD,Yes,No,3995,1745,1510,Red,kolkata,27
274,5,"Tubeless,Radial",4,Not specified,No,No,3940,1710,1505,Others,kolkata,18
275,5,"Tubeless, Radial",4,FWD,Yes,No,4315,1800,1645,Grey,kolkata,21
276,4,"Tubeless,Radial",4,FWD,No,No,4620,1776,1475,White,kolkata,14
277,5,"Tubeless, Radial",4,FWD,Yes,No,3995,1790,1642,White,kolkata,
278,5,Tubeless,3,FWD,No,No,3495,1550,1500,White,kolkata,21
279,4,"Tubeless,Radial",4,FWD,Yes,No,3990,1680,1505,G Brown,kolkata,26
280,4,"Tubeless,Radial",4,FWD,No,No,4950,1845,1475,Grey,kolkata,12
281,5,"Tubeless, Radial",3,Not specified,No,No,3530,1490,1520,Others,kolkata,24
282,4,"Tubeless,Radial",4,FWD,No,No,3585,1595,1550,Red,kolkata,20
283,4,"Tubeless,Radial",4,RWD,No,No,5075,2065,1495,White,kolkata,15
284,4,"Tubeless,Radial",4,FWD,Yes,No,4413,1699,1466,White,kolkata,22
285,5,"Tubeless, Radial",4,Not specified,No,No,3995,1790,1640,Silver,kolkata,17
286,5,"Tubeless,Radial",7,RWD,Yes,No,4735,1830,1795,Purple,kolkata,14
287,5,Radial,3,FWD,Yes,No,3995,1770,1605,Others,kolkata,18
288,5,"Tubeless,Radial",3,FWD,No,No,3801,1665,1530,Silver,kolkata,19
289,5,Tubeless Tyres,3,FWD,No,No,3636,1475,1670,Red,kolkata,21
290,4,"Tubeless,Radial",3,FWD,Yes,No,4413,1699,1466,Blue,kolkata,16
291,5,"Tubeless,Radials",3,RWD,Yes,No,3995,1795,1817,Silver,kolkata,18
292,4,"Tubeless,Radial",4,FWD,No,No,4370,1700,1475,Red,kolkata,17
293,4,"Tubeless,Radial",4,FWD,No,No,4440,1695,1495,Brown,kolkata,18
294,5,Tubeless,4,FWD,No,No,3585,1595,1550,Others,kolkata,20
295,4,"Tubeless, Radial",4,Not specified,No,No,3995,1735,1515,Brown,kolkata,22
296,5,Tubeless,4,FWD,No,No,3585,1595,1550,Others,kolkata,20
297,5,"Tubeless,Radial",4,AWD,Yes,No,4656,1890,1639,Brown,kolkata,18
298,5,"Tubless, Radial",4,FWD,No,No,4456,1735,1666,Green,kolkata,15
299,5,"Tubeless,Radial",4,FWD,No,No,4395,1735,1690,Others,kolkata,19
300,5,"Tubeless,Radial",5,FWD,Yes,No,4369,2041,1420,Blue,kolkata,17
301,4,"Tubeless,Radial",4,FWD,No,No,4375,1700,1475,White,kolkata,17
302,5,"Tubeless Tyres, Radial",3,FWD,No,No,3655,1620,1675,Orange,kolkata,22
303,5,"Tubeless, Radial",3,FWD,No,No,3565,1520,1567,Orange,kolkata,22
304,5,"Tubeless, Radial",3,Not specified,No,No,3695,1655,1555,Blue,kolkata,25
